ID,Actual Categry,Predicted Categry,Percent Confidence
607116.png,meem_end,meem_end,90.54
607102.png,meem_end,meem_end,85.53
607089.png,meem_end,meem_end,99.59
607062.png,meem_end,meem_end,61.68
607076.png,meem_end,dal_end,27.79
607077.png,meem_end,meem_end,93.93
607063.png,meem_end,meem_end,97.46
607088.png,meem_end,meem_end,99.35
607103.png,meem_end,meem_end,97.9
607117.png,meem_end,meem_end,76.34
607129.png,meem_end,meem_end,95.51
607101.png,meem_end,meem_end,95.5
607115.png,meem_end,meem_end,77.4
607049.png,meem_end,meem_end,90.1
607075.png,meem_end,meem_end,99.76
607061.png,meem_end,meem_end,99.07
607060.png,meem_end,meem_end,98.92
607074.png,meem_end,meem_end,97.38
607048.png,meem_end,meem_end,99.3
607114.png,meem_end,meem_end,98.18
607100.png,meem_end,meem_regular,92.15
607128.png,meem_end,meem_end,52.15
607104.png,meem_end,noon_end,67.38
607110.png,meem_end,meem_end,94.38
607138.png,meem_end,meem_end,87.94
607070.png,meem_end,meem_end,63.42
607064.png,meem_end,meem_end,85.34
607058.png,meem_end,jeem_end,58.53
607059.png,meem_end,meem_end,48.56
607065.png,meem_end,meem_end,93.68
607071.png,meem_end,meem_regular,47.67
607139.png,meem_end,meem_end,99.12
607111.png,meem_end,meem_end,93.99
607105.png,meem_end,yaa_end,64.51
607113.png,meem_end,meem_end,99.86
607107.png,meem_end,meem_end,97.48
607098.png,meem_end,meem_regular,96.06
607067.png,meem_end,meem_end,53.68
607073.png,meem_end,meem_end,99.31
607072.png,meem_end,meem_end,93.56
607066.png,meem_end,meem_end,48.44
607099.png,meem_end,meem_regular,51.73
607106.png,meem_end,meem_end,96.57
607112.png,meem_end,meem_end,99.79
607149.png,meem_end,meem_regular,67.12
607175.png,meem_end,meem_end,93.03
607161.png,meem_end,seen_end,43.12
607029.png,meem_end,meem_end,96.26
607001.png,meem_end,jeem_end,62.72
607015.png,meem_end,meem_end,95.62
607014.png,meem_end,meem_end,81.52
607028.png,meem_end,meem_end,95.46
607160.png,meem_end,meem_end,44.89
607174.png,meem_end,jeem_middle,78.94
607148.png,meem_end,meem_regular,48.35
607189.png,meem_end,meem_end,48.18
607162.png,meem_end,meem_regular,74.8
607176.png,meem_end,meem_end,97.63
607200.png,meem_end,meem_end,98.82
607016.png,meem_end,meem_end,99.33
607002.png,meem_end,meem_end,99.83
607003.png,meem_end,meem_end,99.79
607017.png,meem_end,meem_end,99.37
607177.png,meem_end,meem_end,88.53
607163.png,meem_end,meem_end,97.95
607188.png,meem_end,meem_end,91.8
607198.png,meem_end,meem_end,98.44
607167.png,meem_end,meem_end,94.71
607173.png,meem_end,meem_end,99.87
607013.png,meem_end,meem_end,98.21
607007.png,meem_end,ain_regular,40.65
607006.png,meem_end,meem_end,99.49
607012.png,meem_end,meem_end,99.6
607172.png,meem_end,meem_end,99.74
607166.png,meem_end,meem_end,92.74
607199.png,meem_end,meem_end,95.13
607170.png,meem_end,meem_end,45.09
607164.png,meem_end,meem_end,99.68
607158.png,meem_end,meem_end,41.21
607004.png,meem_end,meem_end,98.9
607010.png,meem_end,meem_end,98.66
607038.png,meem_end,meem_end,94.29
607039.png,meem_end,meem_end,97.1
607011.png,meem_end,meem_end,99.66
607005.png,meem_end,meem_end,80.93
607159.png,meem_end,meem_end,92.33
607165.png,meem_end,meem_end,68.29
607171.png,meem_end,meem_end,98.83
607197.png,meem_end,meem_end,99.93
607183.png,meem_end,meem_end,95.78
607168.png,meem_end,meem_end,73.09
607154.png,meem_end,meem_end,46.06
607140.png,meem_end,meem_end,98.08
607008.png,meem_end,meem_end,99.45
607020.png,meem_end,meem_regular,81.5
607034.png,meem_end,meem_end,21.59
607035.png,meem_end,meem_end,98.65
607021.png,meem_end,meem_regular,65.44
607009.png,meem_end,meem_end,99.86
607141.png,meem_end,meem_end,85.51
607155.png,meem_end,meem_end,72.37
607169.png,meem_end,meem_end,89.11
607182.png,meem_end,meem_end,93.9
607196.png,meem_end,meem_end,99.72
607180.png,meem_end,meem_end,78.12
607194.png,meem_end,dal_end,40.63
607143.png,meem_end,meem_end,97.42
607157.png,meem_end,meem_end,85.13
607037.png,meem_end,meem_end,99.55
607023.png,meem_end,meem_end,99.48
607022.png,meem_end,meem_end,89.58
607036.png,meem_end,meem_end,99.33
607156.png,meem_end,meem_end,98.67
607142.png,meem_end,meem_end,85.77
607195.png,meem_end,meem_end,98.59
607181.png,meem_end,meem_end,90.02
607185.png,meem_end,meem_end,98.42
607191.png,meem_end,meem_end,99.79
607146.png,meem_end,meem_end,82.3
607152.png,meem_end,meem_end,79.94
607032.png,meem_end,meem_end,63.7
607026.png,meem_end,meem_end,91.72
607027.png,meem_end,meem_end,99.7
607033.png,meem_end,meem_end,75.14
607153.png,meem_end,meem_end,94.22
607147.png,meem_end,meem_regular,74.56
607190.png,meem_end,meem_end,98.65
607184.png,meem_end,meem_end,99.77
607192.png,meem_end,meem_end,98.3
607186.png,meem_end,meem_end,93.16
607151.png,meem_end,meem_end,87.57
607145.png,meem_end,dal_end,20.56
607179.png,meem_end,meem_end,87.86
607025.png,meem_end,meem_end,55.06
607031.png,meem_end,meem_end,93.62
607019.png,meem_end,meem_end,99.7
607018.png,meem_end,meem_end,53.61
607030.png,meem_end,meem_end,96.25
607024.png,meem_end,meem_end,98.05
607178.png,meem_end,meem_end,93.51
607144.png,meem_end,meem_end,99.55
607150.png,meem_end,meem_end,64.42
607187.png,meem_end,meem_end,91.18
607193.png,meem_end,meem_end,99.4
607137.png,meem_end,meem_end,74.34
607123.png,meem_end,meem_regular,50.97
607080.png,meem_end,meem_end,80.02
607094.png,meem_end,lam_end,29.38
607043.png,meem_end,meem_end,99.82
607057.png,meem_end,meem_end,96.99
607056.png,meem_end,meem_end,49.9
607042.png,meem_end,meem_end,99.79
607095.png,meem_end,meem_end,50.99
607081.png,meem_end,meem_end,97.83
607122.png,meem_end,waw_end,37.75
607136.png,meem_end,meem_end,95.91
607108.png,meem_end,jeem_end,41.88
607120.png,meem_end,meem_end,92.94
607134.png,meem_end,sad_end,58.61
607097.png,meem_end,meem_regular,42.96
607083.png,meem_end,meem_end,52.58
607068.png,meem_end,meem_regular,83.71
607054.png,meem_end,meem_end,59.76
607040.png,meem_end,meem_end,98.05
607041.png,meem_end,meem_end,85.38
607055.png,meem_end,meem_end,98.38
607069.png,meem_end,meem_end,91.01
607082.png,meem_end,meem_end,92.11
607096.png,meem_end,meem_end,99.8
607135.png,meem_end,meem_end,99.64
607121.png,meem_end,meem_end,63.32
607109.png,meem_end,meem_end,74.15
607125.png,meem_end,ain_end,77.94
607131.png,meem_end,meem_end,97.94
607119.png,meem_end,meem_end,89.89
607092.png,meem_end,meem_end,98.94
607086.png,meem_end,meem_end,40.45
607051.png,meem_end,meem_regular,55.33
607045.png,meem_end,meem_end,99.77
607079.png,meem_end,meem_end,94.03
607078.png,meem_end,meem_end,99.28
607044.png,meem_end,meem_end,97.93
607050.png,meem_end,meem_end,96.02
607087.png,meem_end,meem_end,99.82
607093.png,meem_end,kaf_regular,46.84
607118.png,meem_end,meem_end,88.2
607130.png,meem_end,meem_end,95.76
607124.png,meem_end,meem_end,42.85
607132.png,meem_end,meem_end,89.3
607126.png,meem_end,meem_end,99.43
607085.png,meem_end,meem_regular,47.87
607091.png,meem_end,beh_middle,48.91
607046.png,meem_end,ain_end,78.56
607052.png,meem_end,meem_end,75.79
607053.png,meem_end,meem_end,94.66
607047.png,meem_end,meem_end,95.88
607090.png,meem_end,seen_end,57.82
607084.png,meem_end,meem_end,99.42
607127.png,meem_end,meem_end,99.31
607133.png,meem_end,meem_end,99.67
605926.png,lam_alif,lam_alif,99.87
605932.png,lam_alif,lam_alif,99.96
605852.png,lam_alif,lam_alif,85.25
605846.png,lam_alif,lam_alif,99.67
605891.png,lam_alif,lam_alif,99.89
605885.png,lam_alif,lam_alif,99.99
605884.png,lam_alif,lam_alif,92.27
605890.png,lam_alif,lam_alif,98.77
605847.png,lam_alif,lam_alif,97.56
605853.png,lam_alif,lam_alif,99.83
605933.png,lam_alif,lam_alif,99.79
605927.png,lam_alif,lam_alif,99.36
605931.png,lam_alif,tah_regular,74.01
605925.png,lam_alif,lam_alif,84.82
605919.png,lam_alif,noon_regular,58.24
605845.png,lam_alif,lam_alif,43.09
605851.png,lam_alif,lam_alif,97.54
605879.png,lam_alif,lam_alif,99.88
605886.png,lam_alif,lam_alif,99.99
605892.png,lam_alif,lam_alif,99.99
605893.png,lam_alif,lam_alif,73.8
605887.png,lam_alif,lam_alif,99.99
605878.png,lam_alif,kaf_regular,33.22
605850.png,lam_alif,lam_alif,96.29
605844.png,lam_alif,kaf_regular,67.0
605918.png,lam_alif,lam_alif,99.89
605924.png,lam_alif,lam_alif,87.03
605930.png,lam_alif,lam_alif,99.98
605908.png,lam_alif,lam_alif,99.98
605934.png,lam_alif,lam_alif,99.71
605920.png,lam_alif,lam_alif,98.16
605868.png,lam_alif,lam_alif,96.69
605840.png,lam_alif,seen_begin,65.2
605854.png,lam_alif,lam_alif,99.9
605883.png,lam_alif,lam_alif,99.99
605897.png,lam_alif,kaf_regular,54.74
605896.png,lam_alif,lam_alif,82.1
605882.png,lam_alif,lam_alif,79.25
605855.png,lam_alif,lam_alif,99.83
605841.png,lam_alif,tah_regular,38.52
605869.png,lam_alif,lam_alif,96.27
605921.png,lam_alif,lam_alif,98.77
605935.png,lam_alif,lam_alif,99.96
605909.png,lam_alif,lam_alif,98.27
605923.png,lam_alif,lam_alif,99.1
605937.png,lam_alif,lam_alif,97.52
605857.png,lam_alif,lam_alif,99.89
605843.png,lam_alif,kaf_middle,20.82
605894.png,lam_alif,alif_hamza,63.17
605880.png,lam_alif,lam_alif,42.33
605881.png,lam_alif,lam_alif,98.12
605895.png,lam_alif,seen_regular,38.4
605842.png,lam_alif,kaf_regular,44.61
605856.png,lam_alif,lam_alif,99.93
605936.png,lam_alif,lam_alif,99.78
605922.png,lam_alif,lam_alif,99.99
605945.png,lam_alif,lam_alif,99.98
605951.png,lam_alif,lam_alif,99.95
605979.png,lam_alif,lam_alif,82.26
605986.png,lam_alif,kaf_middle,73.85
605992.png,lam_alif,lam_alif,99.95
605831.png,lam_alif,alif_hamza,21.55
605825.png,lam_alif,lam_alif,99.32
605819.png,lam_alif,lam_alif,100.0
605818.png,lam_alif,ain_regular,35.84
605824.png,lam_alif,lam_alif,81.73
605830.png,lam_alif,lam_alif,88.12
605993.png,lam_alif,lam_alif,99.16
605987.png,lam_alif,lam_alif,89.4
605978.png,lam_alif,lam_alif,99.8
605950.png,lam_alif,lam_alif,99.96
605944.png,lam_alif,lam_alif,98.09
605952.png,lam_alif,lam_alif,78.83
605946.png,lam_alif,lam_alif,99.62
605991.png,lam_alif,heh_regular,45.27
605985.png,lam_alif,lam_alif,99.66
605826.png,lam_alif,lam_alif,97.64
605832.png,lam_alif,lam_alif,69.67
605833.png,lam_alif,heh_regular,25.57
605827.png,lam_alif,lam_alif,97.29
605984.png,lam_alif,lam_alif,45.91
605990.png,lam_alif,lam_alif,59.32
605947.png,lam_alif,lam_alif,98.69
605953.png,lam_alif,lam_alif,90.56
605957.png,lam_alif,lam_alif,99.79
605943.png,lam_alif,beh_regular,39.31
605994.png,lam_alif,lam_alif,73.27
605980.png,lam_alif,lam_alif,99.99
605823.png,lam_alif,lam_alif,99.99
605837.png,lam_alif,lam_alif,85.69
605836.png,lam_alif,lam_alif,94.92
605822.png,lam_alif,lam_alif,99.5
605981.png,lam_alif,lam_alif,93.14
605995.png,lam_alif,lam_alif,90.55
605942.png,lam_alif,lam_alif,74.18
605956.png,lam_alif,lam_alif,45.45
605968.png,lam_alif,lam_alif,96.51
605940.png,lam_alif,lam_alif,99.99
605954.png,lam_alif,lam_alif,79.83
605983.png,lam_alif,tah_regular,25.86
605997.png,lam_alif,lam_alif,86.07
605808.png,lam_alif,lam_alif,99.81
605834.png,lam_alif,lam_alif,99.81
605820.png,lam_alif,seen_regular,21.16
605821.png,lam_alif,lam_alif,52.93
605835.png,lam_alif,lam_alif,99.95
605809.png,lam_alif,lam_alif,100.0
605996.png,lam_alif,lam_alif,99.47
605982.png,lam_alif,lam_alif,27.53
605955.png,lam_alif,lam_alif,88.64
605941.png,lam_alif,lam_alif,37.37
605969.png,lam_alif,lam_alif,82.83
605964.png,lam_alif,lam_alif,99.82
605970.png,lam_alif,lam_alif,75.35
605958.png,lam_alif,lam_alif,92.11
605810.png,lam_alif,lam_alif,71.78
605804.png,lam_alif,lam_alif,97.15
605838.png,lam_alif,lam_alif,98.08
605839.png,lam_alif,lam_alif,95.16
605805.png,lam_alif,lam_alif,99.95
605811.png,lam_alif,lam_alif,99.94
605959.png,lam_alif,lam_alif,99.78
605971.png,lam_alif,lam_alif,95.92
605965.png,lam_alif,lam_alif,99.9
605973.png,lam_alif,lam_alif,99.79
605967.png,lam_alif,lam_alif,96.02
605998.png,lam_alif,lam_alif,38.53
605807.png,lam_alif,ain_regular,57.33
605813.png,lam_alif,lam_alif,91.99
605812.png,lam_alif,lam_alif,99.91
605806.png,lam_alif,lam_alif,86.1
605999.png,lam_alif,lam_alif,98.32
605966.png,lam_alif,lam_alif,80.71
605972.png,lam_alif,lam_alif,69.72
605976.png,lam_alif,lam_alif,99.37
605962.png,lam_alif,lam_alif,99.96
605989.png,lam_alif,lam_alif,87.04
605802.png,lam_alif,lam_alif,99.99
605816.png,lam_alif,lam_alif,69.46
605817.png,lam_alif,lam_alif,99.8
605803.png,lam_alif,lam_alif,99.91
605988.png,lam_alif,kaf_middle,72.89
605963.png,lam_alif,lam_alif,99.48
605977.png,lam_alif,kaf_regular,67.65
605949.png,lam_alif,lam_alif,99.86
605961.png,lam_alif,lam_alif,99.18
605975.png,lam_alif,lam_alif,36.58
605829.png,lam_alif,noon_regular,31.28
605815.png,lam_alif,lam_alif,90.43
605801.png,lam_alif,lam_alif,55.86
605814.png,lam_alif,lam_alif,91.71
605828.png,lam_alif,lam_alif,90.79
605974.png,lam_alif,seen_regular,20.53
605960.png,lam_alif,sad_begin,86.02
605948.png,lam_alif,lam_alif,99.77
605907.png,lam_alif,lam_alif,99.97
605913.png,lam_alif,lam_alif,99.82
605873.png,lam_alif,ain_regular,27.54
605867.png,lam_alif,lam_alif,99.61
605898.png,lam_alif,lam_alif,90.43
605899.png,lam_alif,lam_alif,99.96
605866.png,lam_alif,lam_alif,99.64
605872.png,lam_alif,lam_alif,34.95
605912.png,lam_alif,lam_alif,82.95
605906.png,lam_alif,lam_alif,99.45
605910.png,lam_alif,lam_alif,99.9
605904.png,lam_alif,lam_alif,99.98
605938.png,lam_alif,lam_alif,87.14
606000.png,lam_alif,lam_alif,99.51
605864.png,lam_alif,lam_alif,95.46
605870.png,lam_alif,lam_alif,86.05
605858.png,lam_alif,kaf_middle,76.55
605859.png,lam_alif,lam_alif,79.99
605871.png,lam_alif,lam_alif,99.96
605865.png,lam_alif,lam_alif,97.59
605939.png,lam_alif,lam_alif,85.38
605905.png,lam_alif,lam_alif,93.6
605911.png,lam_alif,lam_alif,99.4
605929.png,lam_alif,lam_alif,99.6
605915.png,lam_alif,lam_alif,98.6
605901.png,lam_alif,lam_alif,99.98
605849.png,lam_alif,lam_alif,71.31
605861.png,lam_alif,lam_alif,99.79
605875.png,lam_alif,lam_alif,95.83
605874.png,lam_alif,lam_alif,99.9
605860.png,lam_alif,lam_alif,97.92
605848.png,lam_alif,lam_alif,96.35
605900.png,lam_alif,lam_alif,100.0
605914.png,lam_alif,lam_alif,99.75
605928.png,lam_alif,lam_alif,99.28
605902.png,lam_alif,lam_alif,96.01
605916.png,lam_alif,seen_regular,52.29
605876.png,lam_alif,lam_alif,71.86
605862.png,lam_alif,lam_alif,94.59
605889.png,lam_alif,lam_alif,99.47
605888.png,lam_alif,lam_alif,99.32
605863.png,lam_alif,lam_alif,62.77
605877.png,lam_alif,lam_alif,99.85
605917.png,lam_alif,lam_alif,99.16
605903.png,lam_alif,lam_alif,83.68
603358.png,feh_regular,kaf_regular,80.09
603370.png,feh_regular,feh_regular,74.61
603364.png,feh_regular,feh_begin,48.3
603238.png,feh_regular,feh_regular,45.65
603204.png,feh_regular,sad_begin,23.11
603210.png,feh_regular,feh_regular,93.26
603211.png,feh_regular,feh_regular,97.22
603205.png,feh_regular,tah_regular,70.67
603239.png,feh_regular,feh_regular,41.21
603365.png,feh_regular,feh_begin,70.27
603371.png,feh_regular,feh_begin,56.7
603359.png,feh_regular,feh_regular,91.71
603398.png,feh_regular,noon_regular,39.62
603367.png,feh_regular,qaf_regular,28.89
603373.png,feh_regular,feh_begin,26.49
603213.png,feh_regular,feh_begin,68.37
603207.png,feh_regular,feh_regular,66.86
603206.png,feh_regular,qaf_regular,96.06
603212.png,feh_regular,feh_regular,46.22
603372.png,feh_regular,feh_regular,93.58
603366.png,feh_regular,qaf_regular,45.67
603400.png,feh_regular,seen_begin,21.58
603399.png,feh_regular,feh_regular,90.06
603389.png,feh_regular,feh_regular,96.06
603362.png,feh_regular,feh_regular,68.55
603376.png,feh_regular,feh_begin,69.75
603216.png,feh_regular,noon_regular,34.98
603202.png,feh_regular,noon_regular,64.76
603203.png,feh_regular,noon_regular,36.83
603217.png,feh_regular,feh_regular,64.75
603377.png,feh_regular,feh_regular,67.47
603363.png,feh_regular,feh_regular,92.93
603388.png,feh_regular,feh_regular,81.35
603375.png,feh_regular,noon_regular,48.3
603361.png,feh_regular,feh_regular,42.32
603349.png,feh_regular,qaf_regular,66.04
603201.png,feh_regular,qaf_regular,36.27
603215.png,feh_regular,beh_begin,72.23
603229.png,feh_regular,feh_regular,34.5
603228.png,feh_regular,feh_regular,54.47
603214.png,feh_regular,feh_regular,89.05
603348.png,feh_regular,feh_regular,29.44
603360.png,feh_regular,feh_begin,61.47
603374.png,feh_regular,feh_begin,50.75
603313.png,feh_regular,feh_regular,89.37
603307.png,feh_regular,feh_regular,86.0
603298.png,feh_regular,feh_regular,92.13
603267.png,feh_regular,qaf_end,21.8
603273.png,feh_regular,ain_begin,48.18
603272.png,feh_regular,feh_begin,69.51
603266.png,feh_regular,qaf_end,33.11
603299.png,feh_regular,feh_regular,53.59
603306.png,feh_regular,feh_regular,76.26
603312.png,feh_regular,feh_regular,85.93
603338.png,feh_regular,feh_regular,81.71
603304.png,feh_regular,feh_regular,46.32
603310.png,feh_regular,feh_regular,31.03
603258.png,feh_regular,feh_regular,73.97
603270.png,feh_regular,feh_regular,54.67
603264.png,feh_regular,qaf_regular,66.56
603265.png,feh_regular,feh_regular,98.29
603271.png,feh_regular,feh_regular,78.2
603259.png,feh_regular,feh_regular,97.39
603311.png,feh_regular,kaf_regular,72.62
603305.png,feh_regular,beh_regular,69.81
603339.png,feh_regular,kaf_regular,57.1
603301.png,feh_regular,sad_begin,42.65
603315.png,feh_regular,feh_regular,94.74
603329.png,feh_regular,feh_regular,96.93
603275.png,feh_regular,feh_regular,56.13
603261.png,feh_regular,seen_begin,58.0
603249.png,feh_regular,noon_begin,23.35
603248.png,feh_regular,feh_regular,78.49
603260.png,feh_regular,jeem_regular,26.25
603274.png,feh_regular,feh_begin,37.96
603328.png,feh_regular,yaa_regular,38.4
603314.png,feh_regular,feh_begin,61.53
603300.png,feh_regular,feh_regular,58.38
603316.png,feh_regular,feh_regular,77.05
603302.png,feh_regular,feh_regular,46.87
603289.png,feh_regular,feh_begin,65.87
603262.png,feh_regular,feh_regular,94.55
603276.png,feh_regular,feh_regular,89.2
603277.png,feh_regular,feh_regular,41.66
603263.png,feh_regular,feh_regular,26.94
603288.png,feh_regular,feh_regular,48.05
603303.png,feh_regular,feh_regular,71.7
603317.png,feh_regular,qaf_begin,30.43
603332.png,feh_regular,meem_begin,17.48
603326.png,feh_regular,feh_regular,90.44
603285.png,feh_regular,noon_begin,55.09
603291.png,feh_regular,feh_regular,85.63
603246.png,feh_regular,feh_regular,33.62
603252.png,feh_regular,tah_regular,25.37
603253.png,feh_regular,seen_regular,40.7
603247.png,feh_regular,feh_regular,54.89
603290.png,feh_regular,feh_begin,49.77
603284.png,feh_regular,noon_begin,48.52
603327.png,feh_regular,feh_regular,94.32
603333.png,feh_regular,feh_regular,76.98
603319.png,feh_regular,feh_regular,71.51
603325.png,feh_regular,feh_regular,80.13
603331.png,feh_regular,feh_regular,81.0
603292.png,feh_regular,feh_regular,47.82
603286.png,feh_regular,feh_regular,97.3
603279.png,feh_regular,seen_regular,26.59
603251.png,feh_regular,qaf_regular,57.97
603245.png,feh_regular,feh_regular,86.89
603244.png,feh_regular,noon_regular,31.33
603250.png,feh_regular,feh_regular,75.51
603278.png,feh_regular,feh_begin,79.55
603287.png,feh_regular,lam_end,45.93
603293.png,feh_regular,feh_end,33.27
603330.png,feh_regular,feh_begin,46.99
603324.png,feh_regular,feh_regular,53.1
603318.png,feh_regular,feh_regular,51.94
603320.png,feh_regular,feh_regular,95.6
603334.png,feh_regular,jeem_begin,69.3
603308.png,feh_regular,feh_regular,35.35
603297.png,feh_regular,beh_regular,56.84
603283.png,feh_regular,tah_regular,24.98
603254.png,feh_regular,feh_regular,85.08
603240.png,feh_regular,feh_begin,72.88
603268.png,feh_regular,feh_end,28.78
603269.png,feh_regular,feh_regular,19.61
603241.png,feh_regular,qaf_regular,61.65
603255.png,feh_regular,feh_regular,96.36
603282.png,feh_regular,qaf_regular,14.03
603296.png,feh_regular,feh_end,70.97
603309.png,feh_regular,qaf_begin,48.81
603335.png,feh_regular,feh_begin,36.46
603321.png,feh_regular,feh_regular,40.2
603337.png,feh_regular,feh_regular,80.87
603323.png,feh_regular,feh_regular,26.24
603280.png,feh_regular,qaf_regular,62.52
603294.png,feh_regular,feh_end,81.59
603243.png,feh_regular,feh_begin,62.68
603257.png,feh_regular,feh_regular,41.31
603256.png,feh_regular,heh_regular,38.25
603242.png,feh_regular,ain_begin,42.46
603295.png,feh_regular,yaa_regular,56.89
603281.png,feh_regular,qaf_end,33.06
603322.png,feh_regular,feh_regular,88.46
